Deep Learning Revolution,Geoffrey Hinton,AI Research Press,2020,987-6543-21-09,1,ava#
Quantum Computing Explained,Scott Aaronson,Computing Future Press,2019,876-5432-10-98,1,ava#
The Algorithm Design Manual,Steven S. Skiena,Springer,2020,123-9876-54-32,1,ava#
Computer Networking: A Top-Down Approach,James F. Kurose,Pearson,2021,456-7891-23-45,1,ava#
Artificial Intelligence: A Modern Approach,Stuart Russell,Pearson,2022,321-6549-87-65,1,ava#
Introduction to the Theory of Computation,Michael Sipser,Cengage,2018,789-4561-23-09,1,ava#
Designing Data-Intensive Applications,Martin Kleppmann,O'Reilly Media,2017,159-7538-46-20,1,ava#
Computer Systems: A Programmer's Perspective,Randal E. Bryant,Pearson,2020,951-3572-86-41,1,ava#
The Hunger Games,Suzzanne,Scholastic Press,2008,827-0821-32-81,1,ava#
The Rise of Magadh,Ramesh Prasad Singh,Bihar Heritage Press,2005,123-4567-89-01,1,ava#
Ashoka: The Great Mauryan Emperor,Priya Ranjan Sharma,Ancient India Press,2012,234-5678-90-12,1,ava#
Bihar: A Cultural Odyssey,S. Kumar Jha,Eastern Light Books,2018,345-6789-12-23,1,ava#
The Secrets of Nalanda University,Arvind Choudhary,Bihar Academic House,2021,456-7890-34-45,1,ava#
The Art of War: Kautilya’s Strategy,Rajesh Tripathi,Mauryan Legacy Publishers,2015,567-8901-56-67,1,ava#
A Journey Through Pataliputra,Vikram Sinha,Heritage Bihar Press,2010,678-9012-78-89,1,ava#
The Lost Kingdoms of India,Ananya Bose,Penguin India,2019,789-0123-90-01,1,ava#
Ashoka’s Edicts and Their Significance,Radhika Menon,History Scholars Pvt. Ltd,2023,890-1234-12-34,1,ava#
Bihar in the Age of Empires,Manish Tiwari,Aryavarta Publishers,2017,901-2345-34-56,1,ava#
The Mauryan Empire and Its Legacy,Nidhi Agarwal,Bharat Bhavan Press,2020,112-3456-56-78,1,ava#
The Science of Machine Learning,Andrew Tan,AI Press,2022,223-4567-78-90,1,ava#
Modern C++ Programming,Jason Wong,TechWorld Publishers,2021,334-5678-90-12,3,231192
Deep Space Exploration,Lisa Ray,AstroPress,2018,445-6789-12-23,1,ava#
Quantum Computing for Beginners,Mark Spencer,FutureTech Books,2023,556-7890-34-45,1,ava#
The History of Mathematics,Rahul Sharma,Numbers & Beyond,2015,667-8901-56-67,1,ava#
The Teachings of Buddha,Thich Minh Thanh,Dharma Press,2010,778-9012-78-89,1,ava#
Life of Gautam Buddha,Anand Sinha,Heritage India Books,2015,889-0123-90-01,1,ava#
